fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
1,1,7,25200,0,4,3,3,1e-09,15,0,1.0,0.11709439315375336,0.022278905531278856,0.0016839193045611062,0.00026137369173253753,2.5021480758443184e-05,0.5169913255913889,0.5210266404841108,0.5549757142311396,0.36593706293706296,0.41904761904761906,0.4,7.14654994401445e-05,0.00020489402383450176,0.0015051175938692,0.0015127074431844738,0.002577183583347695,0.037267309667824655,0.00017614484298672558,0.0008786865860814777,0.0030870992219176434,0.007347334264940884,0.017545722752462696,0.03633886406434043,1.0,0.7320904539962023,0.654007710455147,0.5358766327176477,0.4626848495310432,0.20593820127740375,0.48748489556361124,0.4824333883518038,0.48002815414393807,0.478793084935037,0.4774281805745554,0.47778709136630343,2.0490341262035512e-05,7.18309930805894e-06,-1.022977645085377e-05,-1.420548818996328e-05,8.176124945656578e-06,3.849429816642852e-05,4.9858923488156535e-06,3.1666943073500756e-06,4.401557933609411e-06,8.262461702686452e-06,1.5792283858199147e-05,7.908380685241519e-05,27/12/23 13:24:00,0.9994531557657403,6.972625938066563e-05,0.003922607003701904,0.992397907778451,9.257412361660797e-05,0.005020901701343018,0.7426570249383185,0.004656111791142142,0.05212600575834036,,86fb6770f0cb26c39a118366c18b7ca26d29a73e4a27d499741e4a4acc4d0403
2,1,13,900,0,4,4,2,0.0001,15,0.05,1.0,0.0090161359952148,0.0052259724439504005,0.0037741725308027283,0.002748776080741166,0.001259476704823648,0.7563982480330473,0.9914491533127835,0.9985915492957746,1.0,1.0,1.0,0.0015810539134187961,0.049229274083169114,0.07298607333853456,0.09054959409544597,0.108448320907691,0.1548774580572454,0.031042223497261996,0.11283429687820216,0.1248556737451378,0.1389926053209603,0.1512070508943673,0.1845332611528843,1.0,0.9972820512820513,0.007435897435897436,0.0018461538461538461,0.0008717948717948718,0.0,0.4966153846153846,0.49745462024991,0.9724137931034482,1.0,1.0,0.0,0.00012834208970779288,0.00014056705152944333,0.018291731490418378,0.04292432016229571,0.05564600061042144,0.0,0.0004385902414455788,0.0009868335833542812,0.04026835859574885,0.054781032530922716,0.067270450278417,0.0,27/12/23 15:20:23,-0.001450305223781534,4.6327791900305136e-05,0.0014986148639443554,-0.0016344451041749863,4.62963207806447e-05,0.0014937897034177257,-35.53287805526496,0.0002481544665991264,0.015613351915991587,,49bb9d888b9f8ecbc388cdee357c8e06054477e09bbd4bc4cd98564b7fb66c2d
2,1,0.3,25200,0,1,5,1,1e-05,15,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,180,0,4,1,0,1e-07,15,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7,900,1,1,4,0,0.0001,25,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,180,1,2,5,0,1e-06,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.3,7200,0,1,1,1,1e-07,25,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,25200,1,4,3,1,1e-08,40,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.3,25200,0,4,8,2,1e-10,20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,7,7200,0,4,3,1,1e-06,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
