Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,1,1,7.0,25200,0,4,3,3,1e-09,15,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.48492729415344166,0.48492729415344166,0.48492729415344166,0.48492729415344166,0.48492729415344166,0.48492729415344166,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,8.890091611651958e-05,9.486633886666315e-05,0.00010118706806972529,0.00011141221360256783,0.00012265672324934815,0.00017008368174060602,1.0,0.7036793692509855,0.5760512483574245,0.36372098116513357,0.05113885238720981,0.0,0.5385457731055628,0.554933084344849,0.5582168995342648,0.5583320788800241,0.5192719486081371,0.0,3.918726083380411e-05,0.00013923520519386613,0.0001846182921940851,0.00024695523319979984,8.375872671633039e-05,0.0,0.0001589704350184244,0.000210660801833668,0.00023074719443954073,0.00030557306927902935,-0.000360979075639141,0.0,30/12/23 13:10:32,-0.42225143058350856,0.1977722362255611,0.4034177634312572,-7.367170989359652,0.17652707711749807,0.3986528998221001,0.9445975847120474,0.0010021967349414683,0.026138061520776006,,
1,1,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,13.0,900,0,4,4,2,1e-10,15,0.5,1.0,0.18155678784202484,0.09339983995372156,0.05887487139039861,0.040705416585025425,0.018909539241928605,0.7594763541987932,0.9665628518448027,0.9938545935394337,0.999543118218161,1.0,1.0,0.00949175727302012,0.04067087537666645,0.06468606270974629,0.08713513026118651,0.10705473892781785,0.14937003001123944,0.06795873499376578,0.10400348612472161,0.11941499388178298,0.13448026006618266,0.14628757718796748,0.17546533841938353,1.0,0.9781166101008054,0.5107643989666177,0.03657362848893166,0.015804670482751634,0.0,0.513347854718606,0.5191879434460615,0.7474957849846275,0.9916897506925207,1.0,0.0,0.001842235682867589,0.001985128853594727,0.005724857381015046,0.037219081747604965,0.051206294616403254,0.0,0.004727033145436608,0.007264458895502386,0.023790146533013905,0.048246673636960766,0.05899262302158254,0.0,30/12/23 13:18:39,-0.0010052422158642216,0.0006884483589547505,0.00970216125146819,-0.001487694591682498,0.0006884771480273319,0.009712369098648782,-3.944705999233121,0.0004998739311609309,0.021017828589058943,,
2,2,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,0.3,25200,0,1,5,1,1e-11,15,1.0,1.0,0.17092744565498597,0.08973410735078302,0.05812755184619358,0.04086940593583811,0.01884050306089256,0.7549133737616686,0.970021325279298,0.9946726471909605,0.9997630331753555,1.0,1.0,0.009489078893173014,0.04241300789253452,0.06636916521521473,0.0877684781097091,0.1067491628582046,0.14963199712183256,0.06930639639638861,0.10549745322181112,0.12017429151505814,0.13479801869125252,0.14645740089036346,0.1755838013778243,1.0,0.9839420495415633,0.7770629654019553,0.04128463603667494,0.017324350336862367,0.0,0.5118281748644952,0.5153933278418451,0.6148631029986962,0.9914110429447853,1.0,0.0,0.0017785610945291865,0.0018758915144345284,0.0033686830789673855,0.034743250212912975,0.04952417229698305,0.0,0.00431887553412518,0.006217892430717124,0.01608036624340694,0.045686863980704255,0.055723982897500704,0.0,30/12/23 13:26:51,-0.0026297666847060696,0.0006895406046272922,0.009755373854789093,-0.002474588363484953,0.0006893438362652997,0.009775780782750081,-4.811421651791277,0.0005874926006046045,0.023019187852511527,,
3,3,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,2.0,180,0,4,1,0,1e-09,15,0.25,1.0,0.15011955997335885,0.08404535561919854,0.05698478325835632,0.04059944715989344,0.01876345252653868,0.7332270445565913,0.9743790255345237,0.996623432693983,0.9997557997557998,1.0,1.0,0.00930650307281776,0.04598493987749963,0.06898049026040104,0.08860664285372957,0.10706778409932809,0.1496156489065098,0.07173135429279044,0.10793332284961499,0.12120394730349422,0.13504168606066125,0.14647340349923235,0.17486185243682495,1.0,0.3404082873208044,0.05759586647079682,0.02517602958310116,0.009472671090623575,0.0,0.5323438528949901,0.8388392857142857,0.9929639401934917,1.0,1.0,0.0,0.0023400340113590443,0.009140540868314942,0.033091986514459076,0.047348902180286166,0.06333617205537208,0.0,0.009284211622966247,0.0315645104337816,0.04926582734288049,0.0625394271555569,0.076029521631427,0.0,30/12/23 13:33:45,-0.010073337495800106,0.0006947372381341096,0.01006956275210093,-0.010902762359689965,0.0006943077540688944,0.010064726629695781,-0.8049706144344568,0.00018246944445377434,0.01065151244418914,,
4,4,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,1,1,7.0,900,1,1,4,0,1e-09,25,0.5,1.0,0.019257598903372253,0.001990094350444221,0.00031206980330200613,8.466357078143313e-05,8.528057308545113e-06,0.5279860029961544,0.7017648517674709,0.49829995579133507,0.4396103896103896,0.18333333333333332,0.2,0.0006701168870196264,0.008369515433360935,0.012370466607476446,0.00951961885617944,0.0012373923547262188,0.035388284960422164,0.0021416795602441385,0.014036395975127158,0.016250875236062823,0.01896789691886571,0.02959238072183713,0.035388284960422164,1.0,0.00690502662531453,0.0007607232722804143,5.85171747908011e-05,0.0,0.0,0.5090994206799696,0.788135593220339,0.6153846153846154,1.0,0.0,0.0,-9.544494882692641e-05,0.007585483223842659,0.001772478470249169,0.0063980805758274695,0.0,0.0,0.00012321111743851705,0.005639479199768531,0.003916305492587412,0.0063980805758274695,0.0,0.0,30/12/23 13:42:24,0.9941741059565834,0.0007697613717933998,0.011618325264985421,0.9638028528402911,0.0007473021868502008,0.010690672416324149,0.9928909777500113,0.00012868523453075443,0.006235761419625152,,
5,5,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,3.0,180,1,2,5,0,1e-06,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,0.3,7200,0,1,1,1,1e-06,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,1,1,1.0,25200,1,4,3,1,1e-08,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,0.3,25200,0,4,0,2,1e-10,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,7.0,7200,0,4,3,1,1e-07,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,5.0,180,1,4,4,2,1e-09,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,7.0,900,1,4,3,3,1e-06,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,1.0,7200,0,2,4,3,1e-10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,0.3,180,1,4,1,0,1e-08,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,1,1,1.0,180,0,4,1,2,1e-10,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,3.0,25200,1,1,2,1,1e-11,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,no_sentiment_steps_15_removal_1e+00parallel_run_4_2.csv,15,2,1,7.0,7200,0,4,3,3,1e-11,20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
